Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,65,80,70,72,90,98,86,87,60,66,91,99,57,71,71,94,84,71,8
,95,84,68,91,89,100,65,90,76,75,90,99,91,69,74,69,82,73,8
,103,81,68,101,87,96,64,83,78,85,87,100,63,83,87,61,83,71,8
,50,85,68,62,91,96,85,83,92,72,80,105,50,84,104,101,83,70,8
,59,82,69,71,86,95,86,82,91,58,85,102,84,82,88,88,79,69,8
,99,85,68,94,89,101,56,88,80,71,86,102,94,72,81,48,85,67,8
,103,88,69,95,92,97,66,94,61,86,91,101,56,62,62,62,86,67,8
,53,83,69,63,86,99,91,94,53,82,92,100,39,64,54,77,84,69,8
,47,84,68,56,90,99,103,86,62,63,90,100,56,92,39,100,82,68,8
,91,88,34,89,107,119,51,84,56,76,92,99,103,76,80,47,79,72,8
,95,67,67,105,84,105,70,100,57,86,92,103,45,79,69,71,83,66,8
,38,66,76,52,88,95,108,88,67,64,92,96,56,82,67,102,84,69,8
,60,75,79,75,93,92,84,94,70,67,91,97,89,79,71,83,85,62,8
,95,79,87,107,91,85,57,92,72,83,89,103,89,79,70,51,84,68,8
,88,85,96,92,87,78,66,85,77,87,87,101,66,79,71,60,83,67,8
,51,79,87,56,88,84,90,90,70,77,89,102,50,79,73,104,85,67,8
,56,71,81,67,90,92,93,91,68,63,88,102,79,80,67,94,85,64,8
,91,63,68,98,91,108,56,95,70,74,91,101,97,83,70,48,84,68,8
,86,70,43,99,88,115,65,98,71,90,90,95,83,79,73,52,79,71,8
,66,95,58,84,127,124,104,96,56,74,92,103,50,67,21,100,85,66,8
,71,86,71,88,80,109,87,89,59,67,89,100,75,43,83,84,86,57,8
,105,81,69,99,88,104,59,86,63,88,91,99,68,70,76,54,88,67,8
,73,80,68,76,87,103,83,89,71,81,91,99,48,68,75,75,85,70,8
,48,84,67,53,88,100,103,92,83,63,91,96,56,78,86,99,80,66,8
,79,85,67,81,88,96,78,84,96,71,87,101,88,81,102,71,83,71,8
,104,83,67,102,87,97,58,80,91,86,89,101,72,79,88,63,78,66,8
,62,86,68,68,89,99,82,89,81,81,87,100,50,74,79,74,87,67,8
,48,86,67,56,92,96,103,96,61,63,90,102,58,69,65,99,88,70,8
,66,83,67,72,90,96,92,97,57,65,89,99,77,55,51,83,82,65,8
,102,92,67,104,100,102,64,112,46,88,88,99,71,83,43,52,70,66,8
,74,80,51,82,88,116,96,89,99,79,84,99,49,68,83,64,88,62,8
,44,68,64,54,89,121,101,90,76,60,92,100,60,74,75,101,84,68,8
,85,71,75,88,93,97,74,93,64,72,92,99,95,79,64,75,81,71,8
,96,79,88,105,92,82,60,87,73,90,90,97,87,79,72,50,79,72,8
,79,84,92,84,86,81,69,87,73,86,90,99,68,79,73,56,83,69,8
,51,83,89,62,89,83,88,86,71,79,91,100,48,78,68,103,83,67,8
,56,76,87,66,90,85,94,89,68,64,91,100,76,81,71,96,87,68,8
,85,65,77,87,89,102,68,94,68,71,91,102,99,81,69,50,86,68,8
,89,66,62,99,88,111,64,95,71,89,88,98,86,79,68,52,80,71,8
,68,100,32,81,97,133,96,92,63,79,92,99,48,68,46,84,75,71,8
,57,88,63,63,92,96,100,90,38,64,92,102,56,66,69,96,92,64,8
,82,75,66,81,86,101,72,83,60,71,92,103,89,71,63,63,84,68,8
